# noise data
# read data in Python with:
#     import pandas as pd
#     df = pd.read_csv('./paperfig_data/noise.csv', index_col=0, header=4)
ntrajs,ν1 independent,ν2 independent,ν1 cross,ν2 cross
2,0.30801839783023544,0.05532621545196305,0.4220731672091411,0.054964627414053134
3,0.2544380933790161,0.03894954064676237,0.35488492271617705,0.04884029735783098
4,0.23948084799209,0.036399018536034805,0.25922595852108415,0.0403067629940602
5,0.20261316446773378,0.029566173903497046,0.32014233295181604,0.044999506631423575
8,0.17307771239850384,0.02550166618947925,0.22744678770577867,0.03776510598847833
10,0.14025497821756922,0.02162837258460915,0.21218774999671852,0.031844334436134304
15,0.120147213629183,0.016843540143377234,0.1871073825847912,0.027317252288876444
16,0.1266263683583836,0.019088582021719955,0.16514300620957026,0.026776824405831453
20,0.11048642392292184,0.017664840377095824,0.16393312819064745,0.02438272513122953
25,0.0750860059768621,0.01322274529153358,0.1559408407255415,0.021500727958916506
30,0.08079898286681637,0.011800285284975391,0.11526877659502405,0.01805028309741967
32,0.0861868163787842,0.013342377789476206,0.14960071197360672,0.022252756431719395
35,0.08301282014817994,0.01273708147367259,0.12304371780947371,0.019356219727827334
40,0.06937508300509947,0.011277124899654932,0.10829868349749984,0.016451692499252806
45,0.07568215493892923,0.011981093357652335,0.11539279785914336,0.017810718287896918
50,0.07248604533885841,0.010826233845024279,0.10527464869592122,0.015340565078275683
55,0.05789053130331826,0.009545576332882697,0.0925294131408825,0.014456066842205167
60,0.06102740262018059,0.009194022742712454,0.09269829870522167,0.013979468279188202
64,0.06206221928501768,0.00993973175867748,0.09264066164956268,0.014166049965078415
70,0.06585110080896427,0.010165679876819569,0.08519048844048553,0.013331776355233462
75,0.054942409101052865,0.00865328307668338,0.08620226336002611,0.013415933757560191
80,0.054801816534461326,0.008427679480340138,0.08494456374595381,0.013208623148497111
85,0.05036047710483357,0.00794632794962821,0.0880864403732411,0.014400470097265453
90,0.057900368047923575,0.008670648392900342,0.08161832552266125,0.01237116550755662
100,0.04603207997496814,0.007319101605636996,0.07296256446398354,0.011063702043326207
110,0.040660073437953026,0.006396328853708656,0.07395279704866717,0.010867837751721263
120,0.040170908419992,0.005897899105239244,0.07143153483672335,0.010720263209025324
128,0.040879072999845174,0.00676422033941455,0.06844256380164632,0.011323695422108813
